"date","Haryana/Ambala","Haryana/Bhiwani","Haryana/Charkhi Dadri","Haryana/Faridabad","Haryana/Fatehabad","Haryana/Foreign Evacuees","Haryana/Gurugram","Haryana/Hisar","Haryana/Italians","Haryana/Jhajjar","Haryana/Jind","Haryana/Kaithal","Haryana/Karnal","Haryana/Kurukshetra","Haryana/Mahendragarh","Haryana/Nuh","Haryana/Palwal","Haryana/Panchkula","Haryana/Panipat","Haryana/Rewari","Haryana/Rohtak","Haryana/Sirsa","Haryana/Sonipat","Haryana/Yamunanagar"
"2020-03-17","","","","","","","1","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","3","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","1","","","","","","","","","","","","","","","1","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","1","","","","","1",""
"2020-03-23","","","","","","","9","","","","","","","","","","1","","","","","","",""
"2020-03-24","","","","2","","","","","","","","","","","","","","","2","","","","",""
"2020-03-25","","","","","","","10","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","3","","","","",""
"2020-03-27","","","","","","","","","","","","","","","","","","","4","","","","",""
"2020-03-28","1","","","3","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","","","4","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","6","","","","1","","","","","","","","","","2","","","","3","",""
"2020-04-02","3","","","","","","","","","","","","","","","","4","","","","1","","",""
"2020-04-03","","","","","","","15","","","","","","1","","","3","","","","","","","",""
"2020-04-04","","2","","14","","","17","","","","","1","","","","","17","","","","","","",""
"2020-04-05","","","","","","","18","","","","","","","","","8","","","","","","","",""
"2020-04-06","","","1","","","","","","","","","","5","","","14","26","","","","","","",""
"2020-04-07","","","","21","","","20","","","","1","","","","","37","","","","","","","",""
"2020-04-08","","","","28","1","","32","","","","","","","","","38","28","","","","","","2",""
"2020-04-09","","","","","","","","","","","","2","","","","","","4","","","","","",""
"2020-04-10","7","","","","","","","","","","","","","","","","","5","","","","","3",""
"2020-04-11","","","","29","","","","2","","","","","","","","","29","","","","","","",""
"2020-04-12","","","","31","","","","","","","2","","6","2","","45","","","","","","","","3"
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","4","",""
"2020-04-14","","","","33","","","","","","","","","","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","","","","","","48","","6","5","","","","4",""
"2020-04-16","","","","","","","","","","","","","","","","50","30","14","","","","","",""
"2020-04-17","","","","","","","","","","","","","","","","56","","16","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","57","34","17","","","","","7",""
