"date","Sikkim/East Sikkim","Sikkim/North Sikkim","Sikkim/South Sikkim","Sikkim/West Sikkim"
"2020-05-23","","","",""
"2020-06-03","","","",""
"2020-06-05","","","",""
"2020-06-06","","","",""
"2020-06-09","","","",""
"2020-06-12"," ##.## %","","",""
"2020-06-13"," ##.## %","","",""
"2020-06-14"," ##.## %","","",""
"2020-06-17"," ##.## %","",""," 63.44 %"
"2020-06-18"," ##.## %","","",""
"2020-06-19","  7.58 %",""," ##.## %"," 63.44 %"
"2020-06-21","  -.38 %",""," ##.## %",""
"2020-06-22","",""," ##.## %",""
"2020-06-24","  4.81 %","","  9.02 %"," 56.77 %"
"2020-06-25","  4.61 %","","  6.12 %",""
"2020-06-26","  5.38 %","","  7.23 %",""
"2020-06-27","  5.38 %","",""," 11.77 %"
"2020-06-28","  2.31 %","","",""
"2020-06-30","","","","  1.00 %"
"2020-07-01","  3.02 %","","",""
"2020-07-02"," 10.50 %","","","   .00 %"
"2020-07-04"," 10.71 %","","",""
"2020-07-05"," 20.94 %","","",""
"2020-07-06"," 20.20 %","","",""
"2020-07-07"," 20.10 %","","",""
"2020-07-08"," 13.61 %","","",""
"2020-07-09"," 12.91 %","","",""
"2020-07-10","  -.83 %","","",""
"2020-07-11","  7.69 %","","",""
"2020-07-12","  8.00 %","","",""
"2020-07-13","  6.42 %","","  4.79 %",""
"2020-07-14"," 14.63 %","","  7.35 %","   .95 %"
"2020-07-15"," 19.82 %","","",""
"2020-07-16"," 13.13 %","","",""
"2020-07-17"," 15.43 %","","","  7.32 %"
"2020-07-18"," 17.33 %","","",""
"2020-07-19","  9.85 %","","",""
"2020-07-20"," 10.28 %","","",""
"2020-07-21"," 10.53 %","","  5.23 %",""
"2020-07-22"," 12.08 %",""," 25.10 %","  8.01 %"
"2020-07-23"," 11.18 %",""," 23.99 %"," 10.01 %"
"2020-07-24"," 10.83 %",""," 23.46 %"," 13.64 %"
"2020-07-25","",""," 25.73 %",""
"2020-07-26","  8.72 %",""," 33.42 %",""
"2020-07-28","  7.11 %",""," 14.99 %",""
"2020-07-29","  4.75 %",""," 13.16 %",""
"2020-07-30","  4.96 %",""," 11.15 %"," 13.72 %"
"2020-07-31","  5.62 %","","","  7.84 %"
"2020-08-01","  6.11 %","","",""
"2020-08-02","  5.94 %","","  6.45 %",""
"2020-08-03","  4.20 %","","   .26 %",""
"2020-08-04","  7.26 %",""," -3.53 %",""
"2020-08-05","  6.51 %","","",""
"2020-08-07","  7.79 %","","",""
"2020-08-10","  9.17 %","","",""
"2020-08-11","  8.57 %","","",""
"2020-08-12","  4.56 %","","",""
"2020-08-13","  4.02 %","","",""
"2020-08-14","  6.26 %","","",""
"2020-08-15","  6.11 %","","",""
"2020-08-16","  6.42 %","","",""
"2020-08-17","  6.36 %","","",""
"2020-08-18","  6.73 %","","",""
"2020-08-19","  3.22 %","","",""
"2020-08-20","  2.80 %","","",""
"2020-08-21","  3.24 %","","",""
"2020-08-22","  3.62 %","","",""
"2020-08-24","  4.31 %","","",""
"2020-08-25","  4.28 %","","",""
"2020-08-26","  3.34 %","","",""
"2020-08-27","  3.37 %","","",""
"2020-08-28","  3.08 %","","",""
"2020-08-29","  2.37 %","","",""
"2020-08-30"," -1.99 %",""," 39.83 %","  8.10 %"
"2020-08-31"," -1.76 %","","","  7.01 %"
"2020-09-01"," -2.35 %",""," 41.93 %",""
"2020-09-02"," -2.34 %",""," 41.93 %","  3.81 %"
"2020-09-05","  -.38 %",""," 41.19 %"," 15.12 %"
"2020-09-08","  4.21 %","",""," 17.53 %"
"2020-09-09","  4.25 %","","",""
"2020-09-10","  4.25 %","","",""
"2021-01-01","  3.76 %","","",""
"2021-01-03","  1.55 %","","",""
"2021-01-04","","",""," 16.81 %"
