"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi"
"2020-03-15","","","","","1","","","","","","","",""
"2020-03-19","","","","","2","","","","","","","",""
"2020-03-25","","","","","","","","1","","","","",""
"2020-03-28","","","","","3","","","","","","","",""
"2020-03-29","","","","","4","","","","","","","",""
"2020-04-02","","","","","","","","","","","","3",""
"2020-04-03","","","","","10","","","","","","","",""
"2020-04-04","","","","","","1","5","","","","","",""
"2020-04-05","","","","","13","","6","","","","","",""
"2020-04-06","1","","","","15","","8","","","","","",""
"2020-04-08","","","","","16","3","","","","","","4",""
"2020-04-14","","","","","","5","","","","","","",""
"2020-04-17","","","","","18","","9","","","","","",""
"2020-04-18","","","","","","7","","","","","","",""
"2020-04-19","","","","","20","","","","","","","",""
"2020-04-20","","","","","22","","","","","","","",""
"2020-04-23","","","","","23","","","","","","","",""
"2020-04-24","","","","","","","10","","","","","",""
"2020-04-28","","","","","26","","","","","","","",""
"2020-04-29","","","","","26","","","","","","","5",""
"2020-04-30","","","","","26","7","10","","","","","7",""
"2020-05-01","","","","","26","","","","","","","",""
"2020-05-02","","","","","28","","","","","","","",""
"2020-05-03","","","","","","","","","","","","8",""
"2020-05-05","","","","","29","","","","","","","",""
"2020-05-08","","","","","29","8","","","","","","9",""
"2020-05-09","","","","","","7","10","","","","","13","1"
"2020-05-10","","","","","30","","","","","","","",""
"2020-05-12","","","","","","","11","","","","","",""
"2020-05-13","2","","","","31","","12","","","","","",""
"2020-05-14","","","","","34","7","12","","","","","16",""
"2020-05-15","","","","","35","","14","2","","","","16",""
"2020-05-16","","","","","39","","15","","","","","20",""
"2020-05-17","","","","","40","7","","","","","","",""
"2020-05-18","","","","","42","","16","","","","","","2"
"2020-05-19","","2","1","","","","23","4","","","","23",""
"2020-05-20","3","","","","42","8","25","","","","6","27","3"
"2020-05-21","4","11","","","","10","27","","","","","29","6"
"2020-05-22","","6","","","49","12","28","","","","","31","7"
"2020-05-23","7","","","7","58","14","85","6","2","3","","34","10"
"2020-05-24","12","8","9","8","70","","117","7","","","9","43","10"
"2020-05-25","","","11","","71","23","126","10","3","","11","48",""
"2020-05-26","15","","","","74","28","136","","17","","25","50",""
"2020-05-27","21","","","","78","35","138","23","20","","52","57",""
"2020-05-28","24","","","","87","43","139","","","","62","",""
"2020-05-29","45","16","","","159","48","224","28","21","5","70","62","14"
"2020-05-30","","","","","180","51","229","","","","74","",""
"2020-05-31","63","","13","12","229","68","260","34","","6","77","82","21"
"2020-06-01","","21","","33","238","76","263","34","27","","","82","21"
"2020-06-02","63","21","19","33","274","77","285","37","","8","91","82",""
"2020-06-03","","","25","","283","86","300","38","28","","91","83",""
"2020-06-04","64","23","","36","319","","310","42","28","","101","84","22"
"2020-06-05","69","23","27","39","342","87","314","43","","22","109","85",""
"2020-06-06","73","27","33","45","353","108","321","43","44","","118","88","23"
"2020-06-07","73","33","","46","364","135","323","43","","","121","90","23"
"2020-06-08","73","35","34","48","370","144","324","47","44","24","149","91",""
"2020-06-09","74","40","34","","391","151","328","51","51","28","221","","24"
"2020-06-10","74","","34","48","398","154","334","52","","29","223","95","25"
"2020-06-11","","","37","","427","170","","53","51","35","256","99","26"
"2020-06-12","74","","40","48","444","200","","53","","42","259","108",""
"2020-06-13","","","43","48","456","204","","62","","43","282","113","30"
"2020-06-14","74","40","44","48","470","209","335","","","","291","114","33"
"2020-06-15","75","42","44","48","476","211","338","65","53","46","294","114","34"
"2020-06-16","85","","","","494","238","340","71","60","","308","122","39"
"2020-06-17","99","47","44","","529","241","348","72","","48","317","125","40"
"2020-06-18","112","47","47","","557","246","354","91","","52","318","","41"
"2020-06-19","126","54","47","","561","254","361","93","64","52","346","",""
"2020-06-20","137","59","54","","595","259","366","95","","56","370","137","56"
"2020-06-21","138","59","63","","601","271","","99","","60","376","","57"
"2020-06-22","149","59","63","","603","288","368","109","","60","377","152",""
"2020-06-23","163","63","67","50","627","297","376","129","","62","392","178","62"
"2020-06-24","163","68","67","51","643","303","383","138","65","","409","204",""
"2020-06-25","165","74","","","650","313","411","140","","","410","215","63"
"2020-06-26","165","74","69","52","654","","425","","","","","228","63"
"2020-06-27","176","81","71","53","662","","454","141","","65","412","229","64"
"2020-06-28","176","","73","54","672","313","468","141","","66","416","229",""
"2020-06-29","176","81","73","","676","","470","141","65","66","416","231","64"
"2020-06-30","","83","74","55","687","313","474","142","","66","416","259","66"
"2020-07-01","181","83","","57","707","315","496","142","65","","420","261","75"
"2020-07-02","182","83","","","708","315","513","143","66","66","420","277","75"
"2020-07-03","190","86","76","59","729","317","526","143","67","","420","289",""
"2020-07-04","192","92","","","737","318","530","144","","","421","306","80"
"2020-07-05","193","93","76","","749","319","537","145","","","","310","84"
"2020-07-06","196","93","76","59","753","324","541","147","67","66","420","330",""
"2020-07-07","198","93","76","61","771","331","546","150","70","","421","355","87"
"2020-07-08","198","","76","61","780","337","548","154","70","","","358","91"
"2020-07-09","198","93","","63","800","337","560","159","","","426","361","91"
"2020-07-10","","93","","65","811","344","564","160","","","427","402","92"
"2020-07-11","201","","77","","831","347","564","","","67","429","416",""
"2020-07-12","","95","","71","866","365","577","164","","","431","456","92"
"2020-07-13","203","","78","","873","376","583","169","","","432","494",""
"2020-07-14","","","","","884","399","583","172","","","437","528","94"
"2020-07-15","203","","","72","931","404","607","173","77","","","534","102"
"2020-07-16","203","","81","73","956","434","641","176","","","447","625",""
"2020-07-17","204","","","74","994","455","648","182","","","","671","102"
"2020-07-18","211","95","","74","1044","482","684","","80","67","450","716","105"
"2020-07-19","212","","82","","1102","632","691","186","","","","729","110"
"2020-07-20","215","","82","","1109","727","700","186","","","456","729","117"
"2020-07-21","220","","","76","1173","777","715","186","80","","477","763","133"
"2020-07-22","224","","82","76","1216","981","788","190","85","","488","861","142"
"2020-07-23","227","","82","","1284","1013","819","","85","","492","861","149"
"2020-07-24","258","","","87","1314","1042","896","","87","68","492","951","150"
"2020-07-25","264","98","","96","1386","1103","926","196","105","","496","974","162"
"2020-07-26","267","","83","96","1432","1129","931","199","","69","497","1025","168"
"2020-07-27","270","","83","","1442","1247","979","199","108","70","498","1055","178"
"2020-07-28","280","99","85","101","1475","1289","1024","","","","511","1163","178"
"2020-07-29","298","","","102","1525","1363","1044","202","134","","512","1244","183"
"2020-07-30","299","101","91","119","1599","1410","1070","206","143","73","","1247","190"
"2020-07-31","302","102","92","","1654","1416","1104","210","","76","517","1252","191"
"2020-08-01","306","133","","123","1681","1458","1199","214","150","77","519","1282","208"
"2020-08-02","307","","97","","1732","1486","1232","216","150","79","521","1292","220"
"2020-08-03","312","","","125","1770","1587","1279","222","","80","522","1293","225"
"2020-08-04","315","","98","135","1818","1610","1289","228","182","81","525","1356","233"
"2020-08-05","317","134","101","136","1865","1630","1339","237","182","87","530","1392","299"
"2020-08-06","322","155","110","136","1933","1739","1372","239","184","87","560","1448","333"
"2020-08-07","","","111","143","1954","1812","1406","264","190","91","576","1533","339"
"2020-08-08","","165","112","144","1992","1984","1491","273","193","93","580","1704","344"
"2020-08-09","322","165","113","151","2026","2111","1507","276","193","101","591","1723","348"
"2020-08-10","328","165","119","154","2067","2289","1532","276","203","102","598","1833","350"
"2020-08-11","364","165","119","162","2149","2432","1581","285","203","105","637","1865","360"
"2020-08-12","367","168","155","174","2231","2571","1609","290","210","108","654","1984","360"
"2020-08-13","368","177","155","190","2267","2678","1624","295","","112","670","2176","375"
"2020-08-14","368","179","156","195","2340","2800","1678","296","212","","693","2200","381"
"2020-08-15","377","","169","197","2374","2935","1740","299","213","139","709","2223","381"
